ID;Name;Symbol;Volume;v-1;v-2;v-3;v-4;v-5;v-6;v-7;v-8;v-9;v-10;v-11;v-12;v-13;v-14;v-15;v-16;v-17;v-18;v-19;v-20;v-21;v-22;v-23;v-24;v-25;v-26;v-27;v-28;v-29;v-30;v-31;v-32;v-33;v-34;v-35;v-36;v-37;v-38;v-39;v-40;v-41;v-42;v-43;v-44;v-45;v-46;v-47;v-48;v-49;v-50;v-51;v-52;v-53;v-54;v-55;v-56;v-57;v-58;v-59;v-60;v-61;v-62;v-63;v-64;v-65;v-66;v-67;v-68;v-69;v-70;v-71;v-72;v-73;v-74;v-75;v-76;v-77;v-78;v-79;v-80;v-81;v-82;v-83;v-84;v-85;v-86;v-87;v-88;v-89;v-90;v-91;v-92;v-93;v-94;v-95;v-96;v-97;v-98
479;Signature Bank;SBNY;603,886;1,321,700;990,900;1,284,500;1,062,500;1,327,400;2,139,800;1,904,400;1,218,300;994,500;1,254,000;948,300;2,028,500;825,900;1,849,200;1,687,700;1,257,600;1,971,400;3,003,800;1,483,700;1,071,400;1,076,000;1,537,000;1,207,700;1,647,200;2,035,200;1,068,800;1,120,200;899,700;1,069,400;911,200;584,200;357,100;825,400;804,600;598,200;821,200;2,777,600;996,700;1,289,200;1,483,900;1,203,600;879,600;1,411,100;2,050,600;2,421,000;1,400,100;612,100;813,500;1,144,500;792,300;1,054,900;291,600;757,200;1,119,600;926,600;1,257,700;1,017,800;1,177,700;1,940,300;1,241,000;1,578,600;2,645,900;1,833,800;2,369,700;509,000;581,500;697,500;1,137,300;893,900;947,400;758,100;566,700;791,800;849,500;1,206,400;1,354,700;1,175,100;1,772,500;2,315,100;1,595,100;1,244,700;712,900;517,500;891,500;699,400;467,200;416,100;415,300;909,800;645,200;811,900;783,700;502,300;973,200;882,500;638,500;768,800;
480;Rollins Inc.;ROL;336,342;1,322,300;1,232,100;1,350,100;1,651,500;1,487,400;1,519,200;1,202,200;1,620,200;1,025,900;910,900;1,029,400;1,232,800;1,085,200;1,012,100;1,192,200;1,231,300;1,150,700;1,231,500;861,500;889,100;1,879,900;1,037,800;1,398,400;1,344,800;1,394,100;1,516,400;1,257,500;1,142,900;866,900;920,400;645,100;710,800;1,198,700;1,198,000;1,939,700;2,142,400;4,912,000;2,591,500;2,566,300;2,313,500;2,313,500;1,899,000;892,400;1,045,000;1,581,200;1,344,200;1,221,700;1,601,100;3,007,100;1,660,900;1,751,300;597,200;1,774,700;4,804,200;1,162,700;1,616,900;1,092,100;1,020,100;1,171,500;1,500,200;2,092,700;2,134,200;1,131,900;1,455,700;1,261,000;1,509,300;1,388,300;1,602,600;1,459,900;2,158,400;1,987,000;2,531,500;3,618,100;2,005,800;1,405,700;1,169,600;1,297,000;1,036,300;991,800;1,091,200;2,380,300;1,596,500;1,175,000;1,014,200;759,700;1,153,000;1,283,100;1,000,800;1,462,500;1,308,900;1,338,000;888,300;905,200;737,700;832,500;857,800;576,600;
481;DENTSPLY SIRONA Inc.;XRAY;937,965;2,862,100;1,292,500;2,200,100;1,366,700;1,525,700;2,232,800;1,648,900;2,124,900;1,346,300;2,280,900;1,494,800;1,797,000;2,067,600;1,644,800;1,493,700;2,011,300;1,982,800;1,470,300;1,967,100;3,225,900;2,738,100;1,356,400;1,468,900;2,058,700;4,455,700;3,697,800;1,653,800;1,352,700;1,139,500;1,430,500;998,800;1,266,800;1,811,800;1,562,000;2,248,600;1,454,300;4,950,300;2,186,500;2,730,600;2,244,400;1,416,700;1,185,600;1,354,400;1,545,400;1,531,200;1,595,900;1,483,500;2,863,300;3,719,800;1,383,600;2,253,800;614,300;1,435,400;2,033,200;1,761,700;1,962,700;2,576,500;2,915,300;3,291,600;5,199,500;4,094,400;3,144,400;2,582,800;3,147,200;2,323,700;2,786,600;3,282,700;3,944,000;5,422,100;2,338,400;1,665,400;2,451,000;2,317,700;2,188,900;1,267,200;2,024,600;1,996,200;1,941,300;1,218,300;1,844,500;1,618,700;1,983,000;2,137,100;1,887,800;1,699,700;1,801,300;1,824,800;2,384,700;4,285,200;2,129,100;2,618,400;1,925,400;2,253,700;3,998,600;4,793,900;2,828,600;3,841,800;
482;Federal Realty Investment Trust;FRT;205,459;978,100;545,800;1,177,700;367,500;630,100;655,700;809,300;2,776,400;468,700;660,200;405,200;390,900;380,600;288,000;650,000;501,500;503,300;483,300;382,400;648,100;597,700;455,000;324,000;363,900;444,100;491,600;635,900;409,200;368,900;346,900;233,500;386,700;412,900;306,800;410,200;497,700;1,345,000;829,700;658,000;731,600;482,300;333,600;372,700;405,900;446,800;491,300;902,700;596,700;616,900;409,100;289,900;181,600;256,300;330,900;347,000;457,000;467,000;324,700;695,100;523,000;644,300;617,600;631,900;520,900;672,600;988,400;578,200;742,200;614,800;1,113,400;409,800;622,200;445,500;612,500;459,300;424,700;325,100;627,600;806,300;1,040,300;577,900;880,000;864,100;1,034,900;1,274,100;681,500;555,300;545,800;775,500;805,300;1,159,200;844,200;612,700;694,600;725,800;929,800;586,700;
483;Whirlpool Corporation;WHR;346,650;765,200;759,100;647,200;931,400;622,200;1,198,100;1,002,100;1,656,600;1,220,300;621,400;674,700;443,400;373,200;399,900;517,200;583,900;712,700;1,202,900;344,500;475,800;809,600;479,200;545,200;864,800;619,000;570,300;513,000;456,400;505,200;371,700;404,200;299,500;798,700;754,300;787,800;625,100;1,350,900;628,900;679,600;1,007,900;683,000;403,000;559,900;617,600;928,600;498,600;783,700;539,900;908,300;834,600;463,200;190,000;301,500;462,300;513,700;526,200;551,800;623,800;631,500;871,000;944,500;1,110,400;765,100;1,131,700;643,300;658,000;839,600;938,600;731,000;984,400;714,500;965,400;1,062,300;1,065,400;1,378,900;4,107,100;2,536,600;1,035,800;566,200;677,400;820,000;780,200;552,500;428,900;580,800;550,200;393,900;512,100;623,200;729,900;744,000;490,600;488,300;440,400;644,200;722,400;519,400;
484;NRG Energy Inc.;NRG;1,381,158;5,367,300;2,957,300;3,162,800;3,641,400;2,910,300;3,840,900;3,155,800;8,191,500;3,267,900;2,936,600;5,119,800;4,950,700;2,931,300;5,232,600;3,666,400;2,648,600;2,212,500;3,147,900;3,723,800;2,810,800;6,663,100;2,812,300;3,557,300;3,176,900;2,494,800;3,929,900;4,230,400;2,329,200;2,211,500;2,512,500;3,349,500;3,090,300;2,928,800;5,618,200;4,547,800;4,932,000;19,349,100;5,235,600;4,239,500;5,181,300;4,547,200;4,281,900;7,225,500;7,768,200;16,832,700;1,771,800;1,748,400;2,811,400;6,252,200;2,429,000;2,007,200;916,200;1,527,900;1,684,300;2,479,900;2,716,100;2,502,400;2,006,400;2,901,000;3,137,500;2,916,300;3,296,100;3,864,100;4,580,400;4,695,900;2,151,800;1,572,700;2,312,500;2,459,700;2,284,000;1,653,900;2,393,700;2,060,200;2,046,100;2,030,800;2,753,300;2,249,400;1,861,200;2,511,500;1,777,500;1,517,600;2,204,400;1,684,000;1,924,400;2,320,600;1,915,000;2,221,200;2,163,300;2,317,600;3,401,200;2,667,700;1,996,400;1,887,900;2,774,600;2,077,400;2,046,900;2,191,500;
485;Zions Bancorporation N.A.;ZION;396,994;1,376,900;2,629,700;1,059,200;1,114,900;913,000;1,098,200;1,329,800;1,020,700;1,212,100;1,709,300;1,355,600;2,775,900;3,637,800;2,942,500;2,453,900;1,830,200;1,804,500;1,674,600;1,018,700;1,295,200;697,500;878,800;902,700;1,363,700;867,800;1,689,000;1,175,800;609,700;685,300;680,300;704,200;1,263,300;1,563,500;1,257,700;954,900;1,052,100;2,646,600;1,321,800;1,065,200;1,729,900;1,172,300;900,700;1,166,600;1,994,400;1,962,800;2,281,100;1,471,400;1,181,900;1,438,900;975,100;1,465,400;309,400;862,600;981,900;1,450,500;1,843,500;2,054,000;1,451,400;1,314,600;1,784,800;2,324,300;2,536,100;905,100;1,024,300;847,200;1,443,500;1,502,800;1,799,200;1,095,800;1,681,200;1,196,000;1,134,600;1,623,000;3,797,100;2,713,000;2,381,100;2,301,200;2,049,500;1,541,600;1,328,500;1,689,700;2,148,700;1,176,200;1,148,100;874,300;1,533,200;986,900;855,400;1,837,600;1,931,900;1,611,500;1,650,400;1,197,200;1,241,900;939,200;952,700;824,400;
486;News Corporation Class A;NWSA;4,972,684;2,647,600;2,228,800;1,771,900;2,127,800;2,510,600;3,026,000;3,252,800;2,798,000;3,404,000;2,873,400;3,052,500;9,544,600;1,489,900;1,272,900;1,807,700;1,806,700;2,078,400;1,824,600;1,605,600;1,658,200;2,293,500;1,419,100;1,504,300;1,699,300;1,439,000;2,519,200;1,859,200;1,859,900;1,461,000;1,646,100;1,506,600;3,703,900;1,585,800;1,862,500;2,486,800;2,023,700;3,888,100;2,159,400;2,329,700;2,826,500;2,185,300;1,586,000;2,257,900;2,030,900;1,880,500;1,516,700;1,671,200;2,798,600;4,878,800;2,921,100;3,510,100;1,234,300;2,091,900;1,761,200;2,455,400;2,625,000;2,002,000;2,023,900;2,191,400;3,532,100;3,456,300;5,283,000;6,692,100;3,886,900;3,790,700;2,858,100;4,055,100;3,178,600;2,430,000;3,698,400;2,929,600;2,415,300;2,937,400;3,563,700;4,399,600;4,028,400;3,862,600;4,304,700;4,179,300;8,113,400;3,080,200;2,654,900;2,001,000;2,927,800;1,222,700;1,527,800;1,460,100;1,897,800;3,629,000;2,271,400;3,899,800;2,148,600;1,897,600;2,064,800;3,913,900;2,288,700;2,242,300;
487;Sealed Air Corporation;SEE;896,669;2,403,100;1,413,600;968,200;1,125,500;1,144,600;1,116,900;1,140,700;778,800;669,200;527,700;921,600;863,000;1,070,600;897,400;862,000;1,178,800;1,319,800;1,852,800;981,900;1,179,200;1,045,300;916,300;1,027,300;1,223,600;914,200;1,055,000;647,300;493,100;576,000;530,200;430,300;481,200;752,400;874,400;508,500;915,200;1,997,800;1,104,300;864,100;886,200;867,000;1,318,300;1,128,500;764,100;1,161,000;959,100;650,400;719,200;1,408,100;658,800;877,300;288,500;1,053,000;843,300;954,400;1,434,500;1,171,300;1,153,500;1,725,700;1,709,100;2,412,300;2,040,100;1,811,700;1,651,700;1,103,800;1,811,900;1,337,800;1,479,400;2,571,600;1,709,700;715,200;709,100;858,700;981,400;722,700;1,369,500;1,023,600;715,600;1,183,300;1,592,600;1,123,100;965,600;1,154,000;1,097,600;997,200;803,100;1,084,800;795,200;963,800;1,716,800;1,216,400;1,095,000;731,500;1,348,000;1,078,800;1,390,200;817,900;
488;Hasbro Inc.;HAS;602,603;2,514,700;1,489,300;1,102,900;1,462,900;1,185,900;2,553,300;2,397,600;8,146,900;3,556,000;7,002,300;1,138,000;950,400;978,900;1,538,700;1,322,600;1,516,100;1,271,400;1,378,700;914,300;1,039,800;1,770,700;1,320,300;1,193,800;1,397,200;1,666,200;1,734,800;1,681,500;1,274,000;1,603,800;1,068,200;917,800;1,146,300;1,944,900;2,654,900;2,735,000;2,430,500;3,318,000;1,833,700;1,794,300;1,941,500;1,649,500;1,400,900;1,799,800;1,273,900;2,034,300;1,413,500;1,245,300;2,520,000;2,876,300;1,073,600;991,000;509,900;1,047,100;1,282,000;1,263,900;1,912,400;1,825,200;2,424,400;2,102,200;4,553,200;1,359,700;2,082,000;1,631,800;1,382,800;1,408,800;1,540,000;1,665,300;1,175,700;850,700;1,256,900;1,875,700;1,240,900;1,244,100;976,800;1,343,600;1,627,000;1,727,000;2,590,600;3,023,900;2,210,000;2,163,600;1,369,200;925,500;1,221,400;1,113,300;1,971,400;1,575,800;1,859,200;4,847,900;1,669,800;1,066,800;957,800;979,100;884,700;961,400;1,031,900;764,600;
