ID;Comment;Name;Symbol;Last Update;Own;Flag
1;;Apple Inc.;AAPL;10.02.2023 19:08;0;
2;;Microsoft Corporation;MSFT;10.02.2023 19:08;0;
3;;Amazon.com Inc.;AMZN;10.02.2023 19:08;0;
4;;Alphabet Inc. Class A;GOOGL;10.02.2023 19:08;0;
5;;Berkshire Hathaway Inc. Class B;BRK.B;10.02.2023 19:08;0;
6;;Alphabet Inc. Class C;GOOG;10.02.2023 19:08;0;
7;;NVIDIA Corporation;NVDA;10.02.2023 19:08;0;
8;;Tesla Inc;TSLA;10.02.2023 19:08;0;
9;;Exxon Mobil Corporation;XOM;10.02.2023 19:08;0;
10;;UnitedHealth Group Incorporated;UNH;10.02.2023 19:08;0;
11;;Johnson & Johnson;JNJ;10.02.2023 19:08;0;
12;;Meta Platforms Inc. Class A;META;10.02.2023 19:08;0;
13;;JPMorgan Chase & Co.;JPM;10.02.2023 19:08;0;
14;;Visa Inc. Class A;V;10.02.2023 19:08;0;
15;;Home Depot Inc.;HD;10.02.2023 19:08;0;
16;;Procter & Gamble Company;PG;10.02.2023 19:08;0;
17;;Mastercard Incorporated Class A;MA;10.02.2023 19:08;0;
18;;Chevron Corporation;CVX;10.02.2023 19:08;0;
19;;Eli Lilly and Company;LLY;10.02.2023 19:08;0;
20;;Merck & Co. Inc.;MRK;10.02.2023 19:18;0;
21;;AbbVie Inc.;ABBV;10.02.2023 19:18;0;
22;;Bank of America Corp;BAC;10.02.2023 19:18;0;
23;;Pfizer Inc.;PFE;10.02.2023 19:18;0;
24;;Broadcom Inc.;AVGO;10.02.2023 19:18;0;
25;;PepsiCo Inc.;PEP;10.02.2023 19:18;0;
26;;Coca-Cola Company;KO;10.02.2023 19:18;0;
27;;Costco Wholesale Corporation;COST;10.02.2023 19:18;0;
28;;Thermo Fisher Scientific Inc.;TMO;10.02.2023 19:18;0;
29;;Walt Disney Company;DIS;10.02.2023 19:18;0;
30;;Walmart Inc.;WMT;10.02.2023 19:18;0;
31;;McDonald's Corporation;MCD;10.02.2023 19:18;0;
32;;Cisco Systems Inc.;CSCO;10.02.2023 19:18;0;
33;;Abbott Laboratories;ABT;10.02.2023 19:18;0;
34;;Wells Fargo & Company;WFC;10.02.2023 19:18;0;
35;;Accenture Plc Class A;ACN;10.02.2023 19:18;0;
36;;Adobe Incorporated;ADBE;10.02.2023 19:18;0;
37;;Verizon Communications Inc.;VZ;10.02.2023 19:18;0;
38;;Danaher Corporation;DHR;10.02.2023 19:18;0;
39;;Comcast Corporation Class A;CMCSA;10.02.2023 19:18;0;
40;;Salesforce Inc.;CRM;10.02.2023 19:18;0;
41;;Texas Instruments Incorporated;TXN;10.02.2023 19:18;0;
42;;Netflix Inc.;NFLX;10.02.2023 19:18;0;
43;;Linde plc;LIN;10.02.2023 19:18;0;
44;;Bristol-Myers Squibb Company;BMY;10.02.2023 19:18;0;
45;;NIKE Inc. Class B;NKE;10.02.2023 19:18;0;
46;;Philip Morris International Inc.;PM;10.02.2023 19:18;0;
47;;NextEra Energy Inc.;NEE;10.02.2023 19:19;0;
48;;QUALCOMM Incorporated;QCOM;10.02.2023 19:19;0;
49;;Raytheon Technologies Corporation;RTX;10.02.2023 19:19;0;
50;;AT&T Inc.;T;10.02.2023 19:19;0;
51;;United Parcel Service Inc. Class B;UPS;10.02.2023 19:19;0;
52;;Honeywell International Inc.;HON;10.02.2023 19:19;0;
53;;Oracle Corporation;ORCL;10.02.2023 19:19;0;
54;;Advanced Micro Devices Inc.;AMD;10.02.2023 19:19;0;
55;;Lowe's Companies Inc.;LOW;10.02.2023 19:19;0;
56;;ConocoPhillips;COP;10.02.2023 19:19;0;
57;;Caterpillar Inc.;CAT;10.02.2023 19:19;0;
58;;Morgan Stanley;MS;10.02.2023 19:19;0;
59;;Amgen Inc.;AMGN;10.02.2023 19:19;0;
60;;Union Pacific Corporation;UNP;10.02.2023 19:19;0;
61;;Goldman Sachs Group Inc.;GS;10.02.2023 19:19;0;
62;;International Business Machines Corporation;IBM;10.02.2023 19:19;0;
63;;S&P Global Inc.;SPGI;10.02.2023 19:19;0;
64;;Charles Schwab Corp;SCHW;10.02.2023 19:19;0;
65;;Prologis Inc.;PLD;10.02.2023 19:19;0;
66;;Starbucks Corporation;SBUX;10.02.2023 19:19;0;
67;;Intel Corporation;INTC;10.02.2023 19:19;0;
68;;Intuit Inc.;INTU;10.02.2023 19:19;0;
69;;Boeing Company;BA;10.02.2023 19:19;0;
70;;Elevance Health Inc.;ELV;10.02.2023 19:19;0;
71;;Medtronic Plc;MDT;10.02.2023 19:19;0;
72;;Deere & Company;DE;10.02.2023 19:19;0;
73;;CVS Health Corporation;CVS;10.02.2023 19:19;0;
74;;BlackRock Inc.;BLK;10.02.2023 19:19;0;
